"","DBN","School Name","Total Enrollment","Economic Need Index","% Male","% Black","% White","% Students with Disabilities","% Poverty","GT1","GT2","GT3","GT4","GT5","GTK","GE1","GE2","GE3","GE4","GE5","GE6","GE7","GE8","GEK","ICT1","ICT2","ICT3","ICT4","ICT5","ICT6","ICT7","ICT8","ICTK","ICTGT1","ICTGT2","ICTGT3","ICTGT4","ICTGT5","ICTGTK","SC121","SC1211","SC151","SC611","SC811","middle_levels","elementary_levels","self_contained","gifted","self_contained_and_gifted","school_type","class_option","borough","% Attendance","% Chronically Absent","Year"
"338","10X226","P.S. 226",478,0.939,0.504,0.218,0,0.167,0.967,0,0,0,0,0,0,3,2,2,1,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","92.4","26.7","2017-18"
"339","10X228","Jonas Bronck Academy",268,0.846,0.493,0.138,0.022,0.172,0.907,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Bronx","98.3","0.4","2017-18"
"340","10X243","West Bronx Academy for the Future",607,0.902,0.529,0.181,0.016,0.26,0.946,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","89.4","30.0","2017-18"
"341","10X244","The New School for Leadership and Journalism",748,0.889,0.507,0.123,0.024,0.226,0.975,0,0,0,0,0,0,0,0,0,0,0,4,6,7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,3,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","92.9","24.5","2017-18"
"342","10X246","P.S. 246 Poe Center",736,0.948,0.527,0.083,0.042,0.22,0.938,0,0,0,0,0,0,4,5,5,4,5,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","91.7","30.7","2017-18"
"343","10X254","I.S. 254",469,0.942,0.518,0.175,0.009,0.281,0.906,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","90.5","35.0","2017-18"
"344","10X279","P.S. 279 Captain Manuel Rivera, Jr.",1092,0.956,0.531,0.161,0.005,0.205,0.954,0,0,0,0,0,0,4,3,3,2,2,2,3,3,3,0,1,1,2,2,2,1,2,1,0,0,0,0,0,0,0,8,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx","93.6","21.8","2017-18"
"345","10X280","P.S./M.S. 280 Mosholu Parkway",876,0.886,0.522,0.079,0.059,0.29,0.961,0,0,0,0,0,0,2,1,1,2,1,1,2,2,2,1,2,2,1,2,2,2,1,1,0,0,0,0,0,0,0,6,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx","91.7","31.1","2017-18"
"346","10X291","P.S. 291",638,0.956,0.513,0.094,0.008,0.182,0.989,0,0,0,0,0,0,3,3,5,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","90.7","37.0","2017-18"
"347","10X306","P.S. 306",692,0.953,0.474,0.259,0.007,0.218,0.902,0,0,0,0,0,0,3,3,4,4,4,0,0,0,4,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","92.6","25.8","2017-18"
"348","10X307","Luisa Pineiro Fuentes School of Science and Discov",385,0.905,0.512,0.06,0.016,0.216,0.87,0,0,0,0,0,0,2,1,2,1,0,0,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","94.1","21.2","2017-18"
"349","10X308","Bronx Dance Academy School",269,0.886,0.23,0.223,0.007,0.23,0.937,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","93.1","23.9","2017-18"
"350","10X310","P.S. 310 Marble Hill",749,0.885,0.529,0.116,0.032,0.156,0.959,0,0,0,0,0,0,4,3,4,3,3,0,0,0,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","92.9","25.5","2017-18"
"351","10X315","P.S. 315 Lab School",249,0.944,0.51,0.133,0.004,0.221,0.98,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx","92.3","28.9","2017-18"
"352","10X331","The Bronx School of Young Leaders",409,0.948,0.518,0.254,0,0.227,0.892,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,"Middle","SC","Bronx","94.8","15.1","2017-18"
"353","10X340","P.S. 340",646,0.919,0.546,0.093,0.019,0.272,0.882,0,0,0,0,0,0,3,3,2,2,2,0,0,0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","91.8","31.9","2017-18"
"354","10X342","International School for Liberal Arts",523,0.964,0.511,0.004,0.002,0.073,0.99,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Bronx","91.8","18.6","2017-18"
"355","10X344","Ampark Neighborhood",395,0.497,0.532,0.137,0.165,0.205,0.539,0,0,0,0,0,0,1,1,1,2,2,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","94.3","14.1","2017-18"
"356","10X360","P.S. 360",490,0.887,0.531,0.112,0.031,0.229,0.945,0,0,0,0,0,0,2,2,3,2,2,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","90.7","39.3","2017-18"
"357","10X363","Academy For Personal Leadership And Excellence",557,0.938,0.566,0.102,0.009,0.257,0.946,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","92.8","24.6","2017-18"
"358","10X368","In-Tech Academy (M.S. / High School 368)",1003,0.82,0.533,0.088,0.04,0.21,0.871,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","91.8","25.9","2017-18"
"359","10X382","Elementary School for Math, Science, and Technolog",273,0.965,0.454,0.223,0.004,0.161,0.971,0,0,0,0,0,0,2,1,1,2,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx","92.2","29.1","2017-18"
"360","10X386","School for Environmental Citizenship",598,0.97,0.527,0.129,0.013,0.181,0.995,0,0,0,0,0,0,2,3,3,2,2,0,0,0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","93.1","22.6","2017-18"
"361","10X390","M.S. 390",539,0.952,0.566,0.128,0.002,0.254,0.987,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","93.2","20.8","2017-18"
"362","10X391","The Angelo Patri Middle School",530,0.957,0.56,0.219,0.013,0.264,0.926,0,0,0,0,0,0,0,0,0,0,0,6,4,4,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","91.1","28.5","2017-18"
"363","10X396","P.S. 396",339,0.928,0.596,0.18,0.021,0.345,0.926,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx","93.2","22.4","2017-18"
"364","10X447","Creston Academy",460,0.945,0.485,0.098,0.013,0.183,0.924,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","93.3","20.0","2017-18"
"365","10X459","East Fordham Academy for the Arts",278,0.964,0.507,0.129,0.011,0.281,0.95,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","89.3","40.5","2017-18"
"366","11X016","P.S. 016 Wakefield",356,0.851,0.531,0.472,0.025,0.281,0.972,0,0,0,0,0,0,2,2,1,1,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","89.2","46.2","2017-18"
"367","11X019","P.S. 019 Judith K. Weiss",511,0.446,0.523,0.068,0.601,0.166,0.605,0,0,0,0,0,0,2,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Bronx","94.3","16.3","2017-18"
